Team 1,Team 2,Format,Date,Venue,Result,Status
"<a href=""./team.py?team=Lucknow Super Giants"">Lucknow Super Giants</a><br><div style=""color:gray;font-size:80%;""></div>","<a href=""./team.py?team=Royal Challengers Bangalore"">Royal Challengers Bangalore</a><br><div style=""color:gray;font-size:80%;""></div>",T20,"May 01, 2023",Lucknow,Preview,Upcoming
"<a href=""./team.py?team=Gujarat Titans"">Gujarat Titans</a><br><div style=""color:gray;font-size:80%;""></div>","<a href=""./team.py?team=Delhi Capitals"">Delhi Capitals</a><br><div style=""color:gray;font-size:80%;""></div>",T20,"May 02, 2023",Ahmedabad,Preview,Upcoming
"<a href=""./team.py?team=Punjab Kings"">Punjab Kings</a><br><div style=""color:gray;font-size:80%;""></div>","<a href=""./team.py?team=Mumbai Indians"">Mumbai Indians</a><br><div style=""color:gray;font-size:80%;""></div>",T20,"May 03, 2023",Mohali,Preview,Upcoming
"<a href=""./team.py?team=Lucknow Super Giants"">Lucknow Super Giants</a><br><div style=""color:gray;font-size:80%;""></div>","<a href=""./team.py?team=Chennai Super Kings"">Chennai Super Kings</a><br><div style=""color:gray;font-size:80%;""></div>",T20,"May 04, 2023",Lucknow,Preview,Upcoming
"<a href=""./team.py?team=Sunrisers Hyderabad"">Sunrisers Hyderabad</a><br><div style=""color:gray;font-size:80%;""></div>","<a href=""./team.py?team=Kolkata Knight Riders"">Kolkata Knight Riders</a><br><div style=""color:gray;font-size:80%;""></div>",T20,"May 04, 2023",Hyderabad (Deccan),Preview,Upcoming
"<a href=""./team.py?team=Rajasthan Royals"">Rajasthan Royals</a><br><div style=""color:gray;font-size:80%;""></div>","<a href=""./team.py?team=Gujarat Titans"">Gujarat Titans</a><br><div style=""color:gray;font-size:80%;""></div>",T20,"May 05, 2023",Jaipur,Preview,Upcoming
"<a href=""./team.py?team=Chennai Super Kings"">Chennai Super Kings</a><br><div style=""color:gray;font-size:80%;""></div>","<a href=""./team.py?team=Mumbai Indians"">Mumbai Indians</a><br><div style=""color:gray;font-size:80%;""></div>",T20,"May 06, 2023",Chennai,Preview,Upcoming
"<a href=""./team.py?team=Delhi Capitals"">Delhi Capitals</a><br><div style=""color:gray;font-size:80%;""></div>","<a href=""./team.py?team=Royal Challengers Bangalore"">Royal Challengers Bangalore</a><br><div style=""color:gray;font-size:80%;""></div>",T20,"May 06, 2023",Delhi,Preview,Upcoming
"<a href=""./team.py?team=Gujarat Titans"">Gujarat Titans</a><br><div style=""color:gray;font-size:80%;""></div>","<a href=""./team.py?team=Lucknow Super Giants"">Lucknow Super Giants</a><br><div style=""color:gray;font-size:80%;""></div>",T20,"May 07, 2023",Ahmedabad,Preview,Upcoming
"<a href=""./team.py?team=Rajasthan Royals"">Rajasthan Royals</a><br><div style=""color:gray;font-size:80%;""></div>","<a href=""./team.py?team=Sunrisers Hyderabad"">Sunrisers Hyderabad</a><br><div style=""color:gray;font-size:80%;""></div>",T20,"May 07, 2023",Jaipur,Preview,Upcoming
